day	nb_of_cylinder	x	y	z	Ni	Cr						
1	413	2	-3	0	20.00002	25.00006						
1	413	2	1	0	20.05606	25.16817						
1	413	3	1	0	20.07848	25.23544						
1	413	-4	-4	4	20.00000	25.00000						
1	413	-3	-1	4	19.71971	24.89910						
1	413	-3	3	4	19.99991	24.99997						
1	413	-2	1	4	19.83183	24.93946						
1	413	-1	-2	4	19.99721	24.99900						
1	413	0	-2	4	20.00279	25.00100						
1	413	1	-2	4	20.00837	25.00301						
1	413	1	1	4	20.16817	25.06054						
1	413	2	3	4	20.00009	25.00003						
1	413	3	1	4	20.39240	25.14126						
1	560	-5	1	0	19.90459	24.71378						
1	560	-3	-2	0	19.99736	24.99208						
1	560	-2	-4	0	20.00000	25.00000						
1	560	-2	1	0	19.96820	24.90459						
1	560	-1	-1	0	19.98940	24.96820						
1	560	0	2	0	20.00053	25.00158						
1	560	1	-5	0	20.00000	25.00000						
1	560	1	4	0	20.00000	25.00000						
1	560	3	-4	0	20.00000	25.00000						
1	560	3	3	0	20.00002	25.00007						
1	560	-5	-2	4	19.97625	24.99145						
1	560	-4	1	4	19.62897	24.86643						
1	560	-3	1	4	19.73498	24.90459						
1	560	-2	0	4	19.56776	24.84439						
1	560	-1	-1	4	19.94700	24.98092						
1	560	0	0	4	20.14408	25.05187						
1	560	1	-1	4	20.15901	25.05724						
1	560	2	-1	4	20.26502	25.09541						
1	560	3	-4	4	20.00000	25.00000						
1	560	4	0	4	21.29672	25.46682						
1	608	-4	-2	0	19.99637	24.98911						
1	608	-4	1	0	19.92706	24.78118						
1	608	-3	1	0	19.94790	24.84370						
1	608	-2	1	0	19.96874	24.90622						
1	608	-1	-3	0	20.00000	24.99999						
1	608	0	-1	0	20.01042	25.03126						
1	608	1	-1	0	20.03126	25.09378						
1	608	2	-3	0	20.00002	25.00005						
1	608	2	3	0	20.00002	25.00005						
1	608	3	0	0	20.19827	25.59482						
1	608	-5	-1	4	19.53110	24.83119						
1	608	-4	3	4	19.99988	24.99996						
1	608	-3	0	4	19.29188	24.74508						
1	608	-2	0	4	19.57513	24.84705						
1	608	-1	0	4	19.85838	24.94902						
1	608	0	-3	4	20.00002	25.00001						
1	608	1	0	4	20.42487	25.15295						
1	608	1	3	4	20.00005	25.00002						
1	608	3	-3	4	20.00012	25.00004						
1	608	4	-1	4	20.46890	25.16881						
1	636	-5	0	0	19.74756	24.24268						
1	636	-4	3	0	19.99998	24.99993						
1	636	-2	-4	0	20.00000	25.00000						
1	636	-2	0	0	19.91585	24.74756						
1	636	-1	1	0	19.98968	24.96904						
1	636	0	-4	0	20.00000	25.00000						
1	636	1	-2	0	20.00154	25.00462						
1	636	2	-1	0	20.05159	25.15478						
1	636	2	3	0	20.00002	25.00005						
1	636	4	1	0	20.09287	25.27860						
1	636	-5	0	4	18.73780	24.54561						
1	636	-4	1	4	19.63885	24.86999						
1	636	-3	3	4	19.99991	24.99997						
1	636	-2	0	4	19.57927	24.84854						
1	636	-1	1	4	19.94841	24.98143						
1	636	0	-3	4	20.00002	25.00001						
1	636	1	-4	4	20.00000	25.00000						
1	636	2	-4	4	20.00000	25.00000						
1	636	2	3	4	20.00009	25.00003						
1	636	4	-1	4	20.46434	25.16716						
1	670	-5	-2	0	19.99543	24.98629						
1	670	-4	2	0	19.99645	24.98934						
1	670	-3	3	0	19.99998	24.99995						
1	670	-2	3	0	19.99999	24.99997						
1	670	-1	2	0	19.99949	24.99848						
1	670	0	-4	0	20.00000	25.00000						
1	670	0	3	0	20.00000	25.00001						
1	670	2	-4	0	20.00000	25.00000						
1	670	3	-3	0	20.00002	25.00007						
1	670	3	2	0	20.00355	25.01066						
1	670	-5	1	4	19.54104	24.83477						
1	670	-3	-3	4	19.99991	24.99997						
1	670	-2	-3	4	19.99995	24.99998						
1	670	-2	4	4	20.00000	25.00000						
1	670	-1	-1	4	19.94900	24.98164						
1	670	0	-3	4	20.00002	25.00001						
1	670	1	-5	4	20.00000	25.00000						
1	670	1	2	4	20.00762	25.00274						
1	670	2	2	4	20.01269	25.00457						
1	670	3	0	4	20.97034	25.34932						
1	733	-5	-1	0	19.91011	24.73032						
1	733	-4	2	0	19.99652	24.98956						
1	733	-2	-5	0	20.00000	25.00000						
1	733	-2	0	0	19.91855	24.75564						
1	733	-1	-2	0	19.99950	24.99851						
1	733	0	-2	0	20.00050	25.00149						
1	733	1	-5	0	20.00000	25.00000						
1	733	1	3	0	20.00001	25.00003						
1	733	2	1	0	20.04994	25.14982						
1	733	4	-2	0	20.00448	25.01343						
1	733	-5	-1	4	19.55053	24.83819						
1	733	-3	-3	4	19.99992	24.99997						
1	733	-2	-4	4	20.00000	25.00000						
1	733	-2	2	4	19.99254	24.99731						
1	733	-1	-2	4	19.99751	24.99910						
1	733	0	-1	4	20.04994	25.01798						
1	733	1	-5	4	20.00000	25.00000						
1	733	1	2	4	20.00746	25.00269						
1	733	2	3	4	20.00008	25.00003						
1	733	4	-2	4	20.02238	25.00806						
1	905	-5	0	0	19.76818	24.30455						
1	905	-4	2	0	19.99670	24.99009						
1	905	-3	0	0	19.87121	24.61364						
1	905	-2	-1	0	19.97157	24.91472						
1	905	-1	1	0	19.99052	24.97157						
1	905	0	-4	0	20.00000	25.00000						
1	905	1	-4	0	20.00000	25.00000						
1	905	2	-1	0	20.04738	25.14213						
1	905	2	2	0	20.00236	25.00708						
1	905	4	1	0	20.08528	25.25584						
1	905	-5	1	4	19.57360	24.84650						
1	905	-3	-3	4	19.99992	24.99997						
1	905	-2	-2	4	19.99292	24.99745						
1	905	-2	4	4	20.00000	25.00000						
1	905	-1	2	4	19.99764	24.99915						
1	905	0	-1	4	20.04738	25.01706						
1	905	1	0	4	20.38636	25.13909						
1	905	2	-2	4	20.01179	25.00425						
1	905	2	2	4	20.01179	25.00425						
1	905	3	0	4	20.90151	25.32454						
2	10	-5	-1	0	19.87914	24.63743						
2	10	-4	2	0	19.99532	24.98596						
2	10	-3	2	0	19.99666	24.98997						
2	10	-2	2	0	19.99799	24.99398						
2	10	-1	3	0	20.00000	24.99999						
2	10	0	1	0	20.01343	25.04029						
2	10	1	-5	0	20.00000	25.00000						
2	10	1	3	0	20.00001	25.00004						
2	10	2	3	0	20.00002	25.00007						
2	10	4	0	0	20.32852	25.98556						
2	10	-4	-4	4	20.00000	25.00000						
2	10	-4	1	4	19.53000	24.83080						
2	10	-3	3	4	19.99989	24.99996						
2	10	-2	-1	4	19.79857	24.92749						
2	10	-1	-2	4	19.99666	24.99880						
2	10	0	-1	4	20.06714	25.02417						
2	10	1	-2	4	20.01003	25.00361						
2	10	1	4	4	20.00000	25.00000						
2	10	2	1	4	20.33571	25.12086						
2	10	4	1	4	20.60428	25.21754						
2	16	-4	-1	0	19.90628	24.71884						
2	16	-3	-1	0	19.93306	24.79917						
2	16	-3	0	0	19.81803	24.45409						
2	16	-2	4	0	20.00000	25.00000						
2	16	-1	1	0	19.98661	24.95983						
2	16	0	0	0	20.03639	25.10918						
2	16	1	-4	0	20.00000	25.00000						
2	16	2	-2	0	20.00333	25.01000						
2	16	3	-4	0	20.00000	25.00000						
2	16	4	0	0	20.32754	25.98263						
2	16	-4	-1	4	19.53140	24.83130						
2	16	-4	0	4	18.72622	24.54144						
2	16	-2	-3	4	19.99993	24.99998						
2	16	-2	1	4	19.79917	24.92770						
2	16	-1	3	4	19.99998	24.99999						
2	16	0	-2	4	20.00333	25.00120						
2	16	0	4	4	20.00000	25.00000						
2	16	1	2	4	20.01000	25.00360						
2	16	3	-2	4	20.02333	25.00840						
2	16	3	2	4	20.02333	25.00840						
2	22	-5	-1	0	19.87986	24.63958						
2	22	-3	-2	0	19.99668	24.99003						
2	22	-3	1	0	19.93326	24.79977						
2	22	-2	2	0	19.99801	24.99402						
2	22	-1	-3	0	20.00000	24.99999						
2	22	0	-5	0	20.00000	25.00000						
2	22	1	-1	0	20.04005	25.12014						
2	22	2	-4	0	20.00000	25.00000						
2	22	2	0	0	20.18143	25.54429						
2	22	3	3	0	20.00003	25.00009						
2	22	-4	-3	4	19.99984	24.99994						
2	22	-4	0	4	18.73000	24.54280						
2	22	-2	-4	4	20.00000	25.00000						
2	22	-1	-4	4	20.00000	25.00000						
2	22	-1	2	4	19.99668	24.99880						
2	22	0	1	4	20.06674	25.02403						
2	22	1	-5	4	20.00000	25.00000						
2	22	1	1	4	20.20023	25.07208						
2	22	2	0	4	20.90714	25.32657						
2	22	4	0	4	21.63286	25.58783						
2	117	-5	0	0	19.68807	24.06421						
2	117	-4	1	0	19.91075	24.73225						
2	117	-2	-5	0	20.00000	25.00000						
2	117	-2	-1	0	19.96175	24.88525						
2	117	-1	1	0	19.98725	24.96175						
2	117	0	-1	0	20.01275	25.03825						
2	117	1	-3	0	20.00001	25.00004						
2	117	2	-2	0	20.00317	25.00952						
2	117	3	-2	0	20.00444	25.01333						
2	117	3	1	0	20.08925	25.26775						
2	117	-4	-4	4	20.00000	25.00000						
2	117	-3	-4	4	20.00000	25.00000						
2	117	-2	-4	4	20.00000	25.00000						
2	117	-1	-4	4	20.00000	25.00000						
2	117	-1	3	4	19.99998	24.99999						
2	117	0	-2	4	20.00317	25.00114						
2	117	1	-2	4	20.00952	25.00343						
2	117	1	2	4	20.00952	25.00343						
2	117	2	3	4	20.00011	25.00004						
2	117	4	0	4	21.55964	25.56147						
2	226	-4	-3	0	19.99997	24.99991						
2	226	-3	-4	0	20.00000	25.00000						
2	226	-3	1	0	19.93935	24.81805						
2	226	-2	1	0	19.96361	24.89083						
2	226	-1	-1	0	19.98787	24.96361						
2	226	0	-3	0	20.00000	25.00001						
2	226	1	-4	0	20.00000	25.00000						
2	226	1	2	0	20.00181	25.00544						
2	226	3	-1	0	20.08491	25.25473						
2	226	3	1	0	20.08491	25.25473						
2	226	-4	-3	4	19.99986	24.99995						
2	226	-3	-2	4	19.98490	24.99456						
2	226	-2	-3	4	19.99994	24.99998						
2	226	-2	1	4	19.81805	24.93450						
2	226	-1	-1	4	19.93935	24.97817						
2	226	0	-3	4	20.00002	25.00001						
2	226	0	4	4	20.00000	25.00000						
2	226	2	-3	4	20.00010	25.00004						
2	226	3	-1	4	20.42455	25.15284						
2	226	4	0	4	21.48378	25.53416						
2	281	-4	-4	0	20.00000	25.00000						
2	281	-4	1	0	19.91711	24.75132						
2	281	-3	1	0	19.94079	24.82237						
2	281	-2	3	0	19.99999	24.99996						
2	281	-1	-2	0	19.99941	24.99823						
2	281	0	-3	0	20.00000	25.00001						
2	281	1	-3	0	20.00001	25.00004						
2	281	2	-3	0	20.00002	25.00006						
2	281	2	1	0	20.05921	25.17763						
2	281	3	3	0	20.00003	25.00008						
2	281	-5	-1	4	19.46712	24.80816						
2	281	-3	-2	4	19.98526	24.99469						
2	281	-3	3	4	19.99990	24.99996						
2	281	-1	-5	4	20.00000	25.00000						
2	281	-1	3	4	19.99998	24.99999						
2	281	0	-3	4	20.00002	25.00001						
2	281	1	0	4	20.48284	25.17382						
2	281	1	3	4	20.00006	25.00002						
2	281	2	0	4	20.80473	25.28970						
2	281	3	0	4	21.12663	25.40559						
2	523	-4	-4	0	20.00000	25.00000						
2	523	-4	0	0	19.79552	24.38657						
2	523	-3	2	0	19.99732	24.99197						
2	523	-2	0	0	19.91237	24.73710						
2	523	-1	1	0	19.98925	24.96776						
2	523	0	-2	0	20.00054	25.00161						
2	523	1	-1	0	20.03224	25.09672						
2	523	1	3	0	20.00001	25.00003						
2	523	3	-3	0	20.00003	25.00008						
2	523	4	-2	0	20.00482	25.01445						
2	523	-4	-4	4	20.00000	25.00000						
2	523	-3	-3	4	19.99991	24.99997						
2	523	-3	1	4	19.73135	24.90328						
2	523	-2	2	4	19.99197	24.99711						
2	523	-1	3	4	19.99998	24.99999						
2	523	0	-1	4	20.05373	25.01934						
2	523	1	-2	4	20.00803	25.00289						
2	523	1	2	4	20.00803	25.00289						
2	523	2	1	4	20.26865	25.09672						
2	523	4	-1	4	20.48358	25.17409						
2	752	-4	-3	0	19.99998	24.99993						
2	752	-4	2	0	19.99654	24.98962						
2	752	-2	-4	0	20.00000	25.00000						
2	752	-1	-5	0	20.00000	25.00000						
2	752	-1	4	0	20.00000	25.00000						
2	752	0	0	0	20.02698	25.08095						
2	752	1	-4	0	20.00000	25.00000						
2	752	2	-4	0	20.00000	25.00000						
2	752	3	-4	0	20.00000	25.00000						
2	752	4	-2	0	20.00445	25.01334						
2	752	-4	-4	4	20.00000	25.00000						
2	752	-4	1	4	19.65255	24.87492						
2	752	-3	1	4	19.75182	24.91066						
2	752	-2	1	4	19.85109	24.94639						
2	752	-1	4	4	20.00000	25.00000						
2	752	0	-4	4	20.00000	25.00000						
2	752	0	4	4	20.00000	25.00000						
2	752	1	4	4	20.00000	25.00000						
2	752	3	-4	4	20.00000	25.00000						
2	752	4	-2	4	20.02224	25.00801						
2	790	-5	1	0	19.91172	24.73517						
2	790	-3	-2	0	19.99756	24.99267						
2	790	-3	1	0	19.95096	24.85287						
2	790	-2	-1	0	19.97057	24.91172						
2	790	-1	2	0	19.99951	24.99853						
2	790	0	-2	0	20.00049	25.00147						
2	790	1	-4	0	20.00000	25.00000						
2	790	2	-2	0	20.00244	25.00733						
2	790	2	3	0	20.00002	25.00005						
2	790	3	3	0	20.00002	25.00007						
2	790	-4	-3	4	19.99988	24.99996						
2	790	-3	-3	4	19.99992	24.99997						
2	790	-3	3	4	19.99992	24.99997						
2	790	-2	3	4	19.99995	24.99998						
2	790	-1	-2	4	19.99756	24.99912						
2	790	0	-4	4	20.00000	25.00000						
2	790	1	-3	4	20.00005	25.00002						
2	790	2	-2	4	20.01221	25.00440						
2	790	2	0	4	20.66655	25.23996						
2	790	4	-2	4	20.02198	25.00791						
2	838	-4	-1	0	19.93235	24.79704						
2	838	-3	-4	0	20.00000	25.00000						
2	838	-3	0	0	19.86864	24.60592						
2	838	-2	2	0	19.99856	24.99567						
2	838	-1	3	0	20.00000	24.99999						
2	838	0	-2	0	20.00048	25.00144						
2	838	1	-3	0	20.00001	25.00003						
2	838	1	4	0	20.00000	25.00000						
2	838	3	-2	0	20.00337	25.01010						
2	838	4	-2	0	20.00433	25.01299						
2	838	-4	-1	4	19.66173	24.87822						
2	838	-3	-4	4	20.00000	25.00000						
2	838	-2	-3	4	19.99995	24.99998						
2	838	-1	-4	4	20.00000	25.00000						
2	838	-1	3	4	19.99998	24.99999						
2	838	0	-4	4	20.00000	25.00000						
2	838	1	-4	4	20.00000	25.00000						
2	838	2	-3	4	20.00008	25.00003						
2	838	3	-2	4	20.01684	25.00606						
2	838	4	0	4	21.18223	25.42560						
3	181	-5	-2	0	19.99445	24.98336						
3	181	-3	-4	0	20.00000	25.00000						
3	181	-3	3	0	19.99998	24.99994						
3	181	-1	-4	0	20.00000	25.00000						
3	181	-1	-3	0	20.00000	24.99999						
3	181	0	0	0	20.03365	25.10094						
3	181	1	-2	0	20.00185	25.00555						
3	181	1	2	0	20.00185	25.00555						
3	181	2	2	0	20.00308	25.00924						
3	181	3	1	0	20.08665	25.25994						
3	181	-4	-3	4	19.99985	24.99995						
3	181	-3	-4	4	20.00000	25.00000						
3	181	-2	-5	4	20.00000	25.00000						
3	181	-2	3	4	19.99994	24.99998						
3	181	-1	2	4	19.99692	24.99889						
3	181	0	-2	4	20.00308	25.00111						
3	181	1	-3	4	20.00006	25.00002						
3	181	2	-3	4	20.00010	25.00004						
3	181	3	-1	4	20.43323	25.15596						
3	181	3	3	4	20.00015	25.00005						
3	269	-5	1	0	19.89287	24.67861						
3	269	-3	-2	0	19.99704	24.99111						
3	269	-2	-5	0	20.00000	25.00000						
3	269	-2	4	0	20.00000	25.00000						
3	269	-1	0	0	19.96764	24.90293						
3	269	0	2	0	20.00059	25.00178						
3	269	1	-3	0	20.00001	25.00004						
3	269	1	2	0	20.00178	25.00533						
3	269	2	1	0	20.05952	25.17855						
3	269	4	-1	0	20.10713	25.32139						
3	269	-4	-4	4	20.00000	25.00000						
3	269	-3	-2	4	19.98518	24.99467						
3	269	-2	-4	4	20.00000	25.00000						
3	269	-2	3	4	19.99994	24.99998						
3	269	-1	3	4	19.99998	24.99999						
3	269	0	-5	4	20.00000	25.00000						
3	269	1	-2	4	20.00889	25.00320						
3	269	2	-3	4	20.00010	25.00004						
3	269	2	3	4	20.00010	25.00004						
3	269	3	3	4	20.00014	25.00005						
3	351	-4	-1	0	19.91952	24.75856						
3	351	-4	1	0	19.91952	24.75856						
3	351	-3	3	0	19.99998	24.99994						
3	351	-1	-5	0	20.00000	25.00000						
3	351	-1	-1	0	19.98850	24.96551						
3	351	0	1	0	20.01150	25.03449						
3	351	1	-5	0	20.00000	25.00000						
3	351	2	-3	0	20.00002	25.00006						
3	351	3	-2	0	20.00401	25.01202						
3	351	4	-1	0	20.10347	25.31042						
3	351	-4	-4	4	20.00000	25.00000						
3	351	-4	3	4	19.99987	24.99995						
3	351	-2	-3	4	19.99994	24.99998						
3	351	-2	4	4	20.00000	25.00000						
3	351	-1	-2	4	19.99714	24.99897						
3	351	0	1	4	20.05749	25.02069						
3	351	0	4	4	20.00000	25.00000						
3	351	1	2	4	20.00859	25.00309						
3	351	2	1	4	20.28743	25.10347						
3	351	3	2	4	20.02003	25.00721						
3	445	-4	-3	0	19.99997	24.99992						
3	445	-3	-3	0	19.99998	24.99994						
3	445	-3	1	0	19.94465	24.83394						
3	445	-2	0	0	19.90972	24.72916						
3	445	-1	-1	0	19.98893	24.96679						
3	445	0	0	0	20.03009	25.09028						
3	445	1	-4	0	20.00000	25.00000						
3	445	2	-1	0	20.05535	25.16606						
3	445	2	2	0	20.00276	25.00827						
3	445	4	0	0	20.27084	25.81253						
3	445	-5	-2	4	19.97520	24.99107						
3	445	-4	3	4	19.99987	24.99995						
3	445	-2	-5	4	20.00000	25.00000						
3	445	-2	1	4	19.83394	24.94022						
3	445	-1	4	4	20.00000	25.00000						
3	445	0	1	4	20.05535	25.01993						
3	445	1	-1	4	20.16606	25.05978						
3	445	2	-2	4	20.01378	25.00496						
3	445	3	-1	4	20.38748	25.13949						
3	445	4	-1	4	20.49819	25.17935						
3	568	-4	-4	0	20.00000	25.00000						
3	568	-3	-3	0	19.99998	24.99995						
3	568	-3	2	0	19.99737	24.99211						
3	568	-2	4	0	20.00000	25.00000						
3	568	-1	0	0	19.97127	24.91380						
3	568	0	0	0	20.02873	25.08620						
3	568	1	-1	0	20.03171	25.09513						
3	568	2	-2	0	20.00263	25.00789						
3	568	3	-3	0	20.00002	25.00007						
3	568	3	2	0	20.00368	25.01105						
3	568	-4	-3	4	19.99988	24.99996						
3	568	-4	3	4	19.99988	24.99996						
3	568	-3	0	4	19.28169	24.74141						
3	568	-1	-4	4	20.00000	25.00000						
3	568	-1	2	4	19.99737	24.99905						
3	568	0	-4	4	20.00000	25.00000						
3	568	1	0	4	20.43099	25.15516						
3	568	2	-2	4	20.01316	25.00474						
3	568	2	0	4	20.71831	25.25859						
3	568	3	2	4	20.01842	25.00663						
3	572	-4	-1	0	19.92612	24.77835						
3	572	-3	-2	0	19.99737	24.99212						
3	572	-2	-4	0	20.00000	25.00000						
3	572	-2	2	0	19.99842	24.99527						
3	572	-1	4	0	20.00000	25.00000						
3	572	0	-2	0	20.00053	25.00158						
3	572	1	-3	0	20.00001	25.00003						
3	572	2	-2	0	20.00263	25.00788						
3	572	3	-4	0	20.00000	25.00000						
3	572	4	0	0	20.25822	25.77466						
3	572	-4	-4	4	20.00000	25.00000						
3	572	-3	-3	4	19.99991	24.99997						
3	572	-3	1	4	19.73613	24.90501						
3	572	-1	-4	4	20.00000	25.00000						
3	572	-1	3	4	19.99998	24.99999						
3	572	0	0	4	20.14345	25.05164						
3	572	0	4	4	20.00000	25.00000						
3	572	1	2	4	20.00788	25.00284						
3	572	3	-4	4	20.00000	25.00000						
3	572	4	1	4	20.47497	25.17099						
3	612	-5	1	0	19.90635	24.71905						
3	612	-3	-4	0	20.00000	25.00000						
3	612	-3	3	0	19.99998	24.99995						
3	612	-2	4	0	20.00000	25.00000						
3	612	-1	2	0	19.99948	24.99845						
3	612	0	-5	0	20.00000	25.00000						
3	612	1	-4	0	20.00000	25.00000						
3	612	1	4	0	20.00000	25.00000						
3	612	3	-4	0	20.00000	25.00000						
3	612	4	0	0	20.25456	25.76369						
3	612	-4	-3	4	19.99988	24.99996						
3	612	-4	2	4	19.98187	24.99347						
3	612	-2	-5	4	20.00000	25.00000						
3	612	-1	-4	4	20.00000	25.00000						
3	612	-1	-1	4	19.94797	24.98127						
3	612	0	0	4	20.14142	25.05091						
3	612	1	-3	4	20.00005	25.00002						
3	612	1	4	4	20.00000	25.00000						
3	612	2	0	4	20.70712	25.25456						
3	612	3	1	4	20.36419	25.13111						
3	711	-5	-1	0	19.90946	24.72837						
3	711	-4	1	0	19.92958	24.78873						
3	711	-3	2	0	19.99750	24.99249						
3	711	-1	-4	0	20.00000	25.00000						
3	711	-1	3	0	20.00000	24.99999						
3	711	0	2	0	20.00050	25.00150						
3	711	1	-3	0	20.00001	25.00003						
3	711	2	-2	0	20.00250	25.00751						
3	711	3	-2	0	20.00351	25.01052						
3	711	3	1	0	20.07042	25.21127						
3	711	-5	-1	4	19.54729	24.83702						
3	711	-4	2	4	19.98247	24.99369						
3	711	-3	0	4	19.31633	24.75388						
3	711	-2	3	4	19.99995	24.99998						
3	711	-1	3	4	19.99998	24.99999						
3	711	0	0	4	20.13673	25.04922						
3	711	1	-4	4	20.00000	25.00000						
3	711	1	1	4	20.15090	25.05433						
3	711	2	1	4	20.25151	25.09054						
3	711	3	3	4	20.00012	25.00004						
3	733	-5	-2	0	19.99552	24.98657						
3	733	-4	1	0	19.93008	24.79025						
3	733	-3	3	0	19.99998	24.99995						
3	733	-2	3	0	19.99999	24.99997						
3	733	-1	4	0	20.00000	25.00000						
3	733	0	-3	0	20.00000	25.00001						
3	733	1	0	0	20.08145	25.24436						
3	733	2	-3	0	20.00002	25.00005						
3	733	2	2	0	20.00249	25.00746						
3	733	4	-1	0	20.08989	25.26968						
3	733	-4	-3	4	19.99988	24.99996						
3	733	-4	1	4	19.65041	24.87415						
3	733	-2	-3	4	19.99995	24.99998						
3	733	-2	0	4	19.59274	24.85339						
3	733	-1	3	4	19.99998	24.99999						
3	733	0	2	4	20.00249	25.00090						
3	733	1	-4	4	20.00000	25.00000						
3	733	2	-1	4	20.24970	25.08989						
3	733	2	1	4	20.24970	25.08989						
3	733	3	1	4	20.34959	25.12585						
3	916	-5	1	0	19.91499	24.74497						
3	916	-4	3	0	19.99998	24.99993						
3	916	-2	-3	0	19.99999	24.99997						
3	916	-2	1	0	19.97166	24.91499						
3	916	-1	2	0	19.99953	24.99859						
3	916	0	-1	0	20.00945	25.02834						
3	916	1	-4	0	20.00000	25.00000						
3	916	2	-3	0	20.00002	25.00005						
3	916	3	-1	0	20.06612	25.19836						
3	916	3	2	0	20.00329	25.00988						
3	916	-4	-3	4	19.99989	24.99996						
3	916	-4	3	4	19.99989	24.99996						
3	916	-2	-5	4	20.00000	25.00000						
3	916	-2	0	4	19.61486	24.86135						
3	916	-1	4	4	20.00000	25.00000						
3	916	0	-1	4	20.04723	25.01700						
3	916	1	-3	4	20.00005	25.00002						
3	916	1	2	4	20.00705	25.00254						
3	916	3	-4	4	20.00000	25.00000						
3	916	4	-1	4	20.42506	25.15302						
4	75	-4	-2	0	19.99547	24.98640						
4	75	-3	-3	0	19.99998	24.99993						
4	75	-3	2	0	19.99676	24.99029						
4	75	-2	2	0	19.99806	24.99417						
4	75	-1	0	0	19.96464	24.89392						
4	75	0	-2	0	20.00065	25.00194						
4	75	1	-3	0	20.00001	25.00004						
4	75	2	-1	0	20.06504	25.19512						
4	75	2	1	0	20.06504	25.19512						
4	75	3	2	0	20.00453	25.01360						
4	75	-4	-2	4	19.97733	24.99184						
4	75	-4	0	4	18.76244	24.55448						
4	75	-3	0	4	19.11603	24.68177						
4	75	-2	1	4	19.80488	24.92976						
4	75	-1	0	4	19.82321	24.93635						
4	75	0	-2	4	20.00324	25.00117						
4	75	1	-5	4	20.00000	25.00000						
4	75	2	-2	4	20.01619	25.00583						
4	75	2	1	4	20.32520	25.11707						
4	75	4	1	4	20.58535	25.21073						
4	154	-4	-4	0	20.00000	25.00000						
4	154	-4	2	0	19.99563	24.98690						
4	154	-3	2	0	19.99688	24.99064						
4	154	-2	4	0	20.00000	25.00000						
4	154	-1	-1	0	19.98747	24.96240						
4	154	0	-2	0	20.00062	25.00187						
4	154	1	-3	0	20.00001	25.00004						
4	154	2	-4	0	20.00000	25.00000						
4	154	2	2	0	20.00312	25.00936						
4	154	3	3	0	20.00003	25.00009						
4	154	-4	-1	4	19.56138	24.84210						
4	154	-3	-1	4	19.68670	24.88721						
4	154	-2	-5	4	20.00000	25.00000						
