day	nb_of_cylinder	x	y	z	Ni	Cr			
2	510	0	-2	3	20.002	25.001			
2	510	-5	1	3	19.611	24.796			
2	510	1	1	3	20.130	25.068			
2	510	-5	-2	4	19.976	24.991			
2	510	1	-5	4	20.000	25.000			
2	510	-4	0	4	18.973	24.630			
2	510	1	2	4	20.008	25.003			
2	523	-1	-2	0	19.999	24.998			
2	523	1	-2	0	20.002	25.005			
2	523	-1	1	0	19.989	24.968			
2	523	1	0	0	20.088	25.263			
2	523	-3	-3	1	20.000	25.000			
2	523	4	-2	1	20.010	25.013			
2	523	-1	4	1	20.000	25.000			
2	523	4	1	1	20.193	25.261			
2	523	-1	-2	2	19.998	24.999			
2	523	0	-1	2	20.032	25.026			
2	523	-4	0	2	19.387	24.509			
2	523	0	2	2	20.002	25.001			
2	523	-1	-2	3	19.998	24.999			
2	523	0	-2	3	20.002	25.001			
2	523	-2	2	3	19.994	24.997			
2	523	3	3	3	20.000	25.000			
2	523	-4	-1	4	19.624	24.865			
2	523	0	-5	4	20.000	25.000			
2	523	-4	1	4	19.624	24.865			
2	523	3	3	4	20.000	25.000			
2	665	-3	-1	0	19.949	24.847			
2	665	1	-1	0	20.031	25.092			
2	665	-1	1	0	19.990	24.969			
2	665	2	3	0	20.000	25.000			
2	665	-3	-2	1	19.995	24.993			
2	665	2	-2	1	20.005	25.007			
2	665	-2	3	1	20.000	25.000			
2	665	0	4	1	20.000	25.000			
2	665	-4	-3	2	20.000	25.000			
2	665	2	-2	2	20.008	25.006			
2	665	-1	4	2	20.000	25.000			
2	665	3	0	2	20.583	25.467			
2	665	-1	-4	3	20.000	25.000			
2	665	1	-2	3	20.006	25.003			
2	665	-3	1	3	19.796	24.893			
2	665	1	3	3	20.000	25.000			
2	665	-5	-2	4	19.977	24.992			
2	665	0	-4	4	20.000	25.000			
2	665	-1	4	4	20.000	25.000			
2	665	0	2	4	20.003	25.001			
2	905	-5	-2	0	19.996	24.987			
2	905	3	-1	0	20.066	25.199			
2	905	-4	1	0	19.934	24.801			
2	905	3	2	0	20.003	25.010			
2	905	-1	-2	1	19.999	24.999			
2	905	1	-4	1	20.000	25.000			
2	905	-1	3	1	20.000	25.000			
2	905	1	1	1	20.057	25.077			
2	905	-1	-4	2	20.000	25.000			
2	905	2	-4	2	20.000	25.000			
2	905	-3	0	2	19.614	24.691			
2	905	2	0	2	20.386	25.309			
2	905	-3	-3	3	20.000	25.000			
2	905	1	-1	3	20.114	25.060			
2	905	-5	1	3	19.659	24.821			
2	905	1	2	3	20.006	25.003			
2	905	-4	-3	4	20.000	25.000			
2	905	1	-2	4	20.007	25.003			
2	905	-4	0	4	19.098	24.675			
2	905	4	1	4	20.426	25.154			
2	939	-4	-3	0	20.000	25.000			
2	939	2	-2	0	20.002	25.007			
2	939	-1	1	0	19.991	24.972			
2	939	2	1	0	20.047	25.141			
2	939	-4	-3	1	20.000	25.000			
2	939	3	-1	1	20.131	25.177			
2	939	-5	0	1	19.541	24.380			
2	939	0	1	1	20.019	25.025			
2	939	-1	-5	2	20.000	25.000			
2	939	2	-1	2	20.141	25.113			
2	939	-1	2	2	19.999	24.999			
2	939	0	2	2	20.001	25.001			
2	939	-1	-2	3	19.998	24.999			
2	939	2	-3	3	20.000	25.000			
2	939	-1	2	3	19.998	24.999			
2	939	0	4	3	20.000	25.000			
2	939	-4	-1	4	19.672	24.882			
2	939	0	-4	4	20.000	25.000			
2	939	-1	2	4	19.998	24.999			
2	939	1	4	4	20.000	25.000			
3	39	-1	-5	0	20.000	25.000			
3	39	3	-4	0	20.000	25.000			
3	39	-2	2	0	19.998	24.994			
3	39	1	3	0	20.000	25.000			
3	39	-5	-1	1	19.762	24.678			
3	39	1	-5	1	20.000	25.000			
3	39	-2	2	1	19.996	24.995			
3	39	2	3	1	20.000	25.000			
3	39	-2	-5	2	20.000	25.000			
3	39	0	-3	2	20.000	25.000			
3	39	-2	2	2	19.994	24.995			
3	39	3	2	2	20.014	25.011			
3	39	-3	-3	3	20.000	25.000			
3	39	0	-5	3	20.000	25.000			
3	39	-3	1	3	19.735	24.861			
3	39	1	1	3	20.159	25.083			
3	39	-3	-3	4	20.000	25.000			
3	39	0	-2	4	20.003	25.001			
3	39	-2	0	4	19.460	24.806			
3	39	4	1	4	20.596	25.214			
3	160	-4	-3	0	20.000	25.000			
3	160	1	-1	0	20.037	25.112			
3	160	-4	1	0	19.913	24.738			
3	160	2	0	0	20.170	25.510			
3	160	-4	-3	1	20.000	25.000			
3	160	2	-1	1	20.125	25.169			
3	160	-3	0	1	19.660	24.541			
3	160	2	2	1	20.006	25.008			
3	160	-3	-2	2	19.991	24.993			
3	160	0	-4	2	20.000	25.000			
3	160	-5	1	2	19.663	24.730			
3	160	0	3	2	20.000	25.000			
3	160	-2	-5	3	20.000	25.000			
3	160	1	-3	3	20.000	25.000			
3	160	-3	3	3	20.000	25.000			
3	160	4	1	3	20.450	25.236			
3	160	-1	-2	4	19.997	24.999			
3	160	0	-3	4	20.000	25.000			
3	160	-1	0	4	19.830	24.939			
3	160	0	1	4	20.062	25.022			
3	191	-5	-1	0	19.889	24.667			
3	191	0	-5	0	20.000	25.000			
3	191	-3	1	0	19.938	24.815			
3	191	3	3	0	20.000	25.000			
3	191	-2	-5	1	20.000	25.000			
3	191	1	-5	1	20.000	25.000			
3	191	-1	2	1	19.999	24.998			
3	191	1	3	1	20.000	25.000			
3	191	-2	-5	2	20.000	25.000			
3	191	2	-4	2	20.000	25.000			
3	191	-4	1	2	19.741	24.793			
3	191	2	0	2	20.502	25.402			
3	191	-1	-3	3	20.000	25.000			
3	191	2	-3	3	20.000	25.000			
3	191	-3	0	3	19.330	24.648			
3	191	3	0	3	20.938	25.492			
3	191	-4	-1	4	19.569	24.845			
3	191	1	-5	4	20.000	25.000			
3	191	-1	1	4	19.938	24.978			
3	191	3	2	4	20.021	25.008			
3	256	-1	-2	0	19.999	24.998			
3	256	1	-5	0	20.000	25.000			
3	256	-5	1	0	19.892	24.677			
3	256	4	1	0	20.108	25.323			
3	256	-3	-2	1	19.994	24.992			
3	256	0	-5	1	20.000	25.000			
3	256	-5	0	1	19.414	24.209			
3	256	2	2	1	20.006	25.008			
3	256	-2	-4	2	20.000	25.000			
3	256	4	-1	2	20.323	25.259			
3	256	-5	0	2	19.121	24.297			
3	256	2	1	2	20.180	25.144			
3	256	-4	-3	3	20.000	25.000			
3	256	2	-1	3	20.239	25.126			
3	256	-1	0	3	19.870	24.932			
3	256	2	1	3	20.239	25.126			
3	256	-5	-2	4	19.973	24.990			
3	256	0	-2	4	20.003	25.001			
3	256	-2	3	4	20.000	25.000			
3	256	2	3	4	20.000	25.000			
3	352	-3	-3	0	20.000	25.000			
3	352	1	-3	0	20.000	25.000			
3	352	-3	3	0	20.000	25.000			
3	352	1	1	0	20.034	25.103			
3	352	-1	-2	1	19.999	24.998			
3	352	1	-1	1	20.069	25.093			
3	352	-4	3	1	20.000	25.000			
3	352	1	0	1	20.187	25.253			
3	352	-4	-3	2	20.000	25.000			
3	352	4	-2	2	20.015	25.012			
3	352	-3	0	2	19.531	24.625			
3	352	2	3	2	20.000	25.000			
3	352	-5	-1	3	19.586	24.783			
3	352	3	-4	3	20.000	25.000			
3	352	-1	1	3	19.954	24.976			
3	352	1	1	3	20.138	25.072			
3	352	-1	-1	4	19.943	24.979			
3	352	4	-1	4	20.517	25.186			
3	352	-1	0	4	19.844	24.944			
3	352	0	1	4	20.057	25.021			
3	365	-5	-2	0	19.995	24.985			
3	365	4	-1	0	20.103	25.309			
3	365	-4	1	0	19.920	24.760			
3	365	3	2	0	20.004	25.012			
3	365	-2	-2	1	19.997	24.995			
3	365	3	-1	1	20.160	25.216			
3	365	-4	0	1	19.565	24.413			
3	365	0	1	1	20.023	25.031			
3	365	-4	-3	2	20.000	25.000			
3	365	3	-1	2	20.240	25.192			
3	365	-3	0	2	19.534	24.627			
3	365	2	2	2	20.009	25.007			
3	365	-5	-1	3	19.588	24.784			
3	365	2	-1	3	20.229	25.120			
3	365	-2	1	3	19.863	24.928			
3	365	4	1	3	20.412	25.216			
3	365	-2	-2	4	19.991	24.997			
3	365	2	-1	4	20.286	25.103			
3	365	-1	1	4	19.943	24.979			
3	365	2	2	4	20.014	25.005			
3	584	-4	-2	0	19.996	24.989			
3	584	1	-1	0	20.032	25.095			
3	584	-1	0	0	19.971	24.914			
3	584	3	1	0	20.074	25.221			
3	584	-1	-2	1	19.999	24.999			
3	584	1	-1	1	20.063	25.085			
3	584	-5	1	1	19.811	24.745			
3	584	1	3	1	20.000	25.000			
3	584	-3	-3	2	20.000	25.000			
3	584	1	-1	2	20.095	25.076			
3	584	-3	1	2	19.842	24.874			
3	584	2	2	2	20.008	25.006			
3	584	-4	-1	3	19.706	24.846			
3	584	0	-1	3	20.042	25.022			
3	584	-4	0	3	19.200	24.580			
3	584	0	3	3	20.000	25.000			
3	584	-1	-2	4	19.997	24.999			
3	584	0	-1	4	20.053	25.019			
3	584	-2	0	4	19.571	24.846			
3	584	1	2	4	20.008	25.003			
3	650	-3	-2	0	19.997	24.992			
3	650	4	-1	0	20.092	25.277			
3	650	-1	1	0	19.990	24.969			
3	650	0	2	0	20.001	25.002			
3	650	-1	-5	1	20.000	25.000			
3	650	0	-4	1	20.000	25.000			
3	650	-2	0	1	19.833	24.774			
3	650	0	0	1	20.056	25.075			
3	650	-3	-4	2	20.000	25.000			
3	650	3	-2	2	20.011	25.009			
3	650	-2	0	2	19.749	24.799			
3	650	1	0	2	20.251	25.201			
3	650	-1	-3	3	20.000	25.000			
3	650	2	-3	3	20.000	25.000			
3	650	-1	4	3	20.000	25.000			
3	650	3	0	3	20.782	25.410			
3	650	-2	-1	4	19.846	24.945			
3	650	3	-1	4	20.359	25.129			
3	650	-5	1	4	19.538	24.834			
3	650	3	2	4	20.018	25.006			
3	732	-2	-1	0	19.970	24.910			
3	732	1	-5	0	20.000	25.000			
3	732	-3	3	0	20.000	25.000			
3	732	0	0	0	20.027	25.081			
3	732	-1	-3	1	20.000	25.000			
3	732	0	-2	1	20.001	25.001			
3	732	-4	1	1	19.860	24.811			
3	732	0	1	1	20.020	25.027			
3	732	-2	-3	2	20.000	25.000			
3	732	1	-1	2	20.090	25.072			
3	732	-2	2	2	19.996	24.996			
3	732	1	2	2	20.004	25.004			
3	732	-4	-1	3	19.720	24.853			
3	732	0	-2	3	20.002	25.001			
3	732	-4	0	3	19.240	24.601			
3	732	3	0	3	20.760	25.399			
3	732	-3	-3	4	20.000	25.000			
3	732	3	-2	4	20.017	25.006			
3	732	-5	0	4	18.778	24.560			
3	732	0	1	4	20.050	25.018			
3	969	-2	-4	0	20.000	25.000			
3	969	1	-3	0	20.000	25.000			
3	969	-5	0	0	19.772	24.317			
3	969	1	2	0	20.001	25.004			
3	969	-1	-3	1	20.000	25.000			
3	969	3	-2	1	20.006	25.009			
3	969	-4	0	1	19.646	24.522			
3	969	3	1	1	20.130	25.176			
3	969	-3	-3	2	20.000	25.000			
3	969	2	-2	2	20.007	25.006			
3	969	-3	1	2	19.860	24.888			
3	969	0	2	2	20.001	25.001			
3	969	-4	-2	3	19.987	24.993			
3	969	2	-2	3	20.009	25.005			
3	969	-3	1	3	19.814	24.902			
3	969	2	3	3	20.000	25.000			
3	969	-2	-5	4	20.000	25.000			
3	969	2	-3	4	20.000	25.000			
3	969	-4	3	4	20.000	25.000			
3	969	4	0	4	21.138	25.410			
4	251	-4	-4	0	20.000	25.000			
4	251	0	-3	0	20.000	25.000			
4	251	-4	3	0	20.000	25.000			
4	251	0	1	0	20.012	25.036			
4	251	-5	-2	1	19.989	24.985			
4	251	0	-2	1	20.001	25.002			
4	251	-5	1	1	19.784	24.708			
4	251	3	3	1	20.000	25.000			
4	251	-5	-2	2	19.984	24.987			
4	251	1	-5	2	20.000	25.000			
4	251	-4	0	2	19.315	24.452			
4	251	1	3	2	20.000	25.000			
4	251	-1	-2	3	19.998	24.999			
4	251	2	-4	3	20.000	25.000			
4	251	-1	2	3	19.998	24.999			
4	251	1	1	3	20.144	25.076			
4	251	-3	-3	4	20.000	25.000			
4	251	4	-2	4	20.027	25.010			
4	251	-2	0	4	19.511	24.824			
4	251	3	2	4	20.021	25.008			
4	287	-4	-2	0	19.996	24.988			
4	287	3	-2	0	20.004	25.012			
4	287	-1	0	0	19.968	24.904			
4	287	0	1	0	20.012	25.035			
4	287	-1	-2	1	19.999	24.998			
4	287	3	-2	1	20.008	25.011			
4	287	-5	1	1	19.787	24.713			
4	287	2	2	1	20.006	25.008			
4	287	-3	-3	2	20.000	25.000			
4	287	2	-1	2	20.177	25.142			
4	287	-1	1	2	19.965	24.972			
4	287	0	2	2	20.002	25.001			
4	287	-3	-1	3	19.764	24.876			
4	287	1	-5	3	20.000	25.000			
4	287	-3	2	3	19.988	24.994			
4	287	3	1	3	20.331	25.174			
4	287	-4	-1	4	19.587	24.851			
4	287	3	-4	4	20.000	25.000			
4	287	-3	3	4	20.000	25.000			
4	287	1	4	4	20.000	25.000			
4	334	-3	-1	0	19.942	24.826			
4	334	1	-3	0	20.000	25.000			
4	334	-1	0	0	19.969	24.906			
4	334	2	1	0	20.058	25.174			
4	334	-2	-3	1	20.000	25.000			
4	334	0	-1	1	20.023	25.031			
4	334	-5	0	1	19.433	24.235			
4	334	0	2	1	20.001	25.002			
4	334	-4	-3	2	20.000	25.000			
4	334	0	-1	2	20.035	25.028			
4	334	-4	1	2	19.757	24.805			
4	334	1	1	2	20.104	25.083			
4	334	-4	-2	3	19.984	24.992			
4	334	4	-1	3	20.417	25.219			
4	334	-2	0	3	19.622	24.802			
4	334	2	0	3	20.629	25.330			
4	334	-3	-3	4	20.000	25.000			
4	334	4	-1	4	20.521	25.188			
4	334	-2	0	4	19.528	24.830			
4	334	2	0	4	20.787	25.283			
4	375	-2	-1	0	19.966	24.898			
4	375	3	-1	0	20.080	25.239			
4	375	-5	1	0	19.898	24.693			
4	375	3	2	0	20.004	25.012			
4	375	-2	-1	1	19.932	24.908			
4	375	1	-5	1	20.000	25.000			
4	375	-3	3	1	20.000	25.000			
4	375	0	0	1	20.062	25.084			
4	375	-1	-3	2	20.000	25.000			
4	375	0	-2	2	20.002	25.001			
4	375	-4	1	2	19.761	24.809			
4	375	0	1	2	20.034	25.027			
4	375	-2	-3	3	20.000	25.000			
4	375	1	-1	3	20.137	25.072			
4	375	-2	2	3	19.993	24.996			
4	375	1	4	3	20.000	25.000			
4	375	-4	-4	4	20.000	25.000			
4	375	2	-3	4	20.000	25.000			
4	375	-1	3	4	20.000	25.000			
4	375	0	0	4	20.155	25.056			
4	573	-2	-3	0	20.000	25.000			
4	573	2	-1	0	20.053	25.158			
4	573	-2	0	0	19.914	24.742			
4	573	0	1	0	20.011	25.032			
4	573	-1	-2	1	19.999	24.999			
4	573	3	-2	1	20.007	25.010			
4	573	-1	2	1	19.999	24.999			
4	573	4	1	1	20.190	25.256			
4	573	-4	-1	2	19.778	24.823			
4	573	4	-1	2	20.285	25.228			
4	573	-2	0	2	19.742	24.793			
4	573	0	2	2	20.002	25.001			
4	573	-3	-2	3	19.989	24.994			
4	573	2	-2	3	20.011	25.006			
4	573	-3	0	3	19.426	24.699			
4	573	1	2	3	20.006	25.003			
4	573	-5	-1	4	19.525	24.829			
